City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Lagoa,39.05,-27.9833,15.04,88,4,8.19,PT,1675552773
1,Hobart,-42.8794,147.3294,20.59,53,20,2.06,AU,1675552773
2,Cayenne,4.9333,-52.3333,24.02,94,75,1.03,GF,1675552773
3,Muros,42.7762,-9.0603,8.94,84,1,4.34,ES,1675552773
4,Rikitea,-23.1203,-134.9692,26.2,74,2,5.8,PF,1675552774
5,Kitakata,37.65,139.8667,-0.63,91,97,1.6,JP,1675552774
6,Karratha,-20.7377,116.8463,31.73,45,58,1.5,AU,1675552774
7,Butaritari,3.0707,172.7902,27.36,80,65,8.45,KI,1675552775
8,Torbay,47.6666,-52.7314,-13.06,84,75,10.29,CA,1675552775
9,Beringovskiy,63.05,179.3167,-27.35,84,52,7.23,RU,1675552775
10,Tautira,-17.7333,-149.15,26.7,77,75,6.59,PF,1675552555
11,Três Lagoas,-20.7511,-51.6783,23.88,88,98,1.04,BR,1675552776
12,Koumra,8.9126,17.5539,27.76,15,27,1.77,TD,1675552776
13,Busselton,-33.65,115.3333,24.07,40,77,2.6,AU,1675552777
14,Hambantota,6.1241,81.1185,24.1,86,51,4.92,LK,1675552777
15,Port Alfred,-33.5906,26.891,23.99,87,100,0.89,ZA,1675552777
16,Gisborne,-38.6533,178.0042,24.06,68,3,3.66,NZ,1675552778
17,Puerto Ayora,-0.7393,-90.3518,27.53,89,58,3.13,EC,1675552537
18,Avarua,-21.2078,-159.775,29.03,79,40,7.2,CK,1675552778
19,Ushuaia,-54.8,-68.3,12.81,58,75,6.17,AR,1675552778
20,Manta,-0.95,-80.7333,27.88,74,75,3.6,EC,1675552779
21,Merauke,-8.4667,140.3333,25.44,88,100,2.79,ID,1675552655
22,Vaini,-21.2,-175.2,30.09,74,75,7.2,TO,1675552779
23,Comodoro Rivadavia,-45.8667,-67.5,25.92,38,0,2.57,AR,1675552779
24,Taoudenni,22.6783,-3.9836,15.47,37,100,5.8,ML,1675552780
25,Qaanaaq,77.484,-69.3632,-19.67,60,70,2.05,GL,1675552780
26,Leningradskiy,69.3833,178.4167,-31.96,99,100,2.02,RU,1675552780
27,Ancud,-41.8697,-73.8203,19.08,74,45,1.31,CL,1675552781
28,Cherskiy,68.75,161.3,-38.28,100,97,1.68,RU,1675552781
29,Huercal Overa,37.389,-1.9454,10.57,33,0,1.21,ES,1675552781
30,Sistranda,63.7256,8.834,1.98,97,100,7.05,NO,1675552782
31,Raahe,64.6833,24.4833,-5.95,91,100,6.4,FI,1675552782
32,Hithadhoo,-0.6,73.0833,27.52,71,83,6.97,MV,1675552782
33,Punta Arenas,-53.15,-70.9167,12.06,94,100,6.69,CL,1675552783
34,Mataura,-46.1927,168.8643,21.42,75,100,1.12,NZ,1675552783
35,Shirokiy,49.758,129.523,-24.78,99,94,2.16,RU,1675552783
36,Ponta do Sol,32.6667,-17.1,17.35,48,22,4.23,PT,1675552783
37,Mount Isa,-20.7333,139.5,27.87,26,84,5.14,AU,1675552784
38,Dingle,10.9995,122.6711,23.73,94,90,3.38,PH,1675552784
39,Noyabrsk,63.1994,75.4507,-13.89,95,100,5.28,RU,1675552784
40,Mar del Plata,-38.0023,-57.5575,19.97,71,20,2.68,AR,1675552574
41,Kaitangata,-46.2817,169.8464,23.38,62,100,1.5,NZ,1675552785
42,Mastic Beach,40.7668,-72.8521,-6.24,49,100,1.54,US,1675552690
43,Fortuna,40.5982,-124.1573,17.42,59,75,6.17,US,1675552544
44,Thinadhoo,0.5333,72.9333,26.61,72,34,5.16,MV,1675552785
45,Kruisfontein,-34.0033,24.7314,21.34,62,64,2.14,ZA,1675552667
46,Bredasdorp,-34.5322,20.0403,20.02,89,0,3.44,ZA,1675552786
47,Khatanga,71.9667,102.5,-39.13,100,50,2.26,RU,1675552551
48,Nemuro,43.3236,145.575,-5.65,72,30,3.78,JP,1675552490
49,Faya,18.3851,42.4509,11.29,61,82,0.35,SA,1675552786
50,Virginia Beach,36.8529,-75.978,0.02,64,20,3.6,US,1675552786
51,Souillac,-20.5167,57.5167,25.25,86,70,4.17,MU,1675552526
52,George Town,5.4112,100.3354,25.96,90,20,3.6,MY,1675552689
53,Chokurdakh,70.6333,147.9167,-30.52,97,80,3.8,RU,1675552787
54,Cleethorpes,53.5605,-0.0323,8.14,87,75,6.17,GB,1675552787
55,Zhangaözen,43.3,52.8,-1.99,84,37,3.1,KZ,1675552788
56,Missoula,47.0166,-113.8009,2.22,98,92,1.65,US,1675552788
57,Hong Kong,22.2855,114.1577,18.03,86,100,3.58,HK,1675552593
58,Isangel,-19.55,169.2667,28.62,82,66,7.0,VU,1675552533
59,Bluff,-46.6,168.3333,16.92,90,100,6.25,NZ,1675552494
60,Castro,-24.7911,-50.0119,17.45,94,84,2.03,BR,1675552788
61,Boa Vista,2.8197,-60.6733,26.99,69,40,2.06,BR,1675552639
